competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334
Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076
ReeseÕs pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499
Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514
Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,22.445341
Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439
100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725
Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144
3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936
HersheyÕs Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236122
Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064072
Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056
Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,57.21925
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037
HersheyÕs Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.284481
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974
Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546
HersheyÕs Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501
Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756
Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824
ReeseÕs Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.866257
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681
HersheyÕs Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454
One dime,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086
Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691
Peanut butter M&MÕs,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505
Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701
Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465
Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914
Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286
Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468
One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505
